Draft Year,Pick Number,NBA Team,Name,Age,College,Height,Weight,Dominant Hand,NBA Relatives,Seasons Played (College),POS,MPG,PPG,RPG,APG,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,47,MIL,Tiny Gallon,,Oklahoma,6-9,300,,0,1,F,30,24.0,4.1,7.4,.547,0.1,0.6,.235,2.1,3.0,.697,2.8,7.9,0.8,0.7,0.8,2.3,2.8,10.3
2010,50,DAL,Solomon Alabi,,Florida State,7-1,251,Right,0,3,C,32,25.6,4.2,7.8,.534,0.0,0.0,,3.4,4.3,.794,2.5,6.2,0.5,0.6,2.3,1.9,2.3,11.7
2010,51,OKC,Magnum Rolle,,Louisiana Tech,6-11,225,,0,5,F,34,30.1,5.6,10.8,.514,0.0,0.0,,2.7,4.1,.660,3.5,8.4,0.8,0.8,2.1,2.0,2.8,13.9
2010,52,BOS,Luke Harangody,,Notre Dame,6-8,246,Right,0,4,F,30,33.0,8.1,16.9,.481,0.8,2.7,.309,4.7,5.9,.787,2.2,9.1,1.6,0.5,0.7,1.8,2.3,21.8
2010,54,LAC,Willie Warren,,Oklahoma,6-4,199,Right,0,2,G,21,32.3,5.0,11.5,.438,1.4,4.6,.309,4.8,6.0,.795,0.7,3.3,4.1,1.0,0.0,3.8,2.3,16.3
2010,55,UTA,Jeremy Evans,,Western Kentucky,6-9,196,Right,0,4,F,34,26.5,4.0,6.2,.649,0.1,0.4,.250,1.9,2.7,.688,3.0,6.9,0.7,0.8,1.8,1.1,2.9,10.0
2010,56,MIN,Hamady N'Diaye,,Rutgers University,7-0,235,Right,0,4,C,32,28.3,3.6,6.2,.579,0.0,0.0,,2.3,3.8,.617,2.4,7.1,0.4,0.4,4.5,1.5,2.9,9.4
2010,57,IND,Ryan Reid,,Florida State,6-8,235,Right,0,4,F,31,22.7,2.6,5.4,.491,0.0,0.0,,1.5,2.5,.597,1.9,4.0,1.1,0.6,0.5,1.6,1.5,6.8
2010,58,LAL,Derrick Caracter,,Texas-El Paso,6-9,275,Right,0,4,F,27,26.7,5.5,9.7,.567,0.1,0.6,.267,3.0,4.4,.672,2.7,8.1,1.1,1.0,0.9,2.9,3.0,14.1
2010,59,ORL,Stanley Robinson,,UConn,6-9,210,,0,4,F,34,34.2,6.0,11.4,.525,0.8,2.3,.342,1.8,2.9,.629,2.7,7.6,1.0,0.9,1.2,2.3,1.5,14.5
