Draft Year,Pick Number,NBA Team,Name,Age,College,Height,Weight,Dominant Hand,NBA Relatives,Seasons Played (College),POS,G,GS%,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
2011,45,NOH,Josh Harrellson,22.36,Kentucky,208,124,Right,0,3,F,38.0,100.0,28.5,3.3,5.5,0.611,0.1,0.3,0.2,0.9,1.5,0.589,5.0,3.7,8.7,0.8,0.9,1.5,0.7,2.4,7.6,22.3,0.616,0.048,0.269,0.0,15.2,18.9,17.1,5.1,2.0,5.2,10.7,12.5,3.2,2.3,5.5,0.204,4.9,3.8,8.7
2011,46,LAL,Andrew Goudelock,22.55,College of Charleston,188,90,Right,0,4,G,37.0,100.0,35.2,8.6,18.9,0.455,3.5,8.7,0.407,3.0,3.6,0.821,3.2,0.7,3.9,4.2,0.9,0.2,3.2,1.8,23.7,26.7,0.575,0.461,0.192,0.0,2.3,9.9,6.3,26.4,1.5,0.5,13.5,34.5,5.3,1.2,6.5,0.199,7.4,-1.4,6.0
2011,47,LAC,Travis Leslie,21.24,Georgia,193,92,Right,0,3,G,33.0,100.0,32.2,5.4,10.9,0.492,0.4,1.3,0.302,3.3,4.1,0.801,4.0,3.2,7.2,2.9,1.2,0.6,2.2,1.9,14.4,24.9,0.561,0.119,0.378,0.0,12.2,13.6,12.9,20.6,2.3,2.0,14.3,24.4,3.4,1.7,5.2,0.195,6.5,2.3,8.9
2011,48,ATL,Keith Benson,22.86,Oakland,211,104,Right,1,4,C,35.0,100.0,32.4,6.6,12.1,0.547,0.3,0.7,0.391,4.5,7.0,0.643,7.5,2.7,10.1,1.1,0.8,3.6,1.9,3.1,17.9,28.8,0.584,0.055,0.578,0.0,9.5,24.1,17.2,6.2,1.4,9.8,10.9,24.9,4.0,1.7,5.7,0.202,3.6,1.9,5.4
2011,49,MEM,Josh Selby,20.25,Kansas,188,83,Right,0,1,G,26.0,42.31,20.4,2.8,7.4,0.373,1.3,3.6,0.362,1.1,1.4,0.757,1.8,0.4,2.2,2.2,0.8,0.0,2.0,1.7,7.9,11.9,0.489,0.487,0.192,0.0,2.4,9.7,6.3,17.8,2.3,0.2,20.1,24.4,0.4,0.9,1.3,0.098,0.3,2.1,2.4
2011,50,PHI,Lavoy Allen,22.38,Temple,206,102,Right,0,4,F,33.0,100.0,33.9,4.7,9.7,0.48,0.2,0.5,0.294,2.1,3.0,0.697,5.9,2.7,8.6,2.3,0.7,1.8,1.6,2.3,11.6,20.3,0.519,0.053,0.308,0.0,9.3,20.2,14.8,13.6,1.3,5.4,12.8,19.8,2.2,2.4,4.6,0.163,2.6,3.1,5.6
2011,51,POR,Jon Diebler,23.01,Ohio State,198,92,Right,0,4,G,37.0,97.3,35.7,3.9,7.7,0.507,3.1,6.1,0.502,1.7,2.1,0.81,2.3,0.4,2.6,2.4,1.0,0.1,0.9,1.0,12.6,19.6,0.723,0.794,0.276,0.0,1.3,7.9,4.6,11.6,1.7,0.4,9.8,14.4,4.7,2.1,6.8,0.207,8.0,3.6,11.6
2011,52,DET,Vernon Macklin,24.76,Florida,206,111,Right,0,5,F,37.0,94.59,24.5,5.2,8.7,0.593,0.0,0.0,0.0,1.2,2.8,0.451,3.2,2.2,5.4,0.8,0.4,0.7,1.7,2.5,11.6,22.2,0.578,0.0,0.317,0.0,10.9,15.0,13.0,7.7,0.9,3.1,14.5,25.1,2.2,1.4,3.6,0.16,3.1,1.4,4.5
2011,53,ORL,DeAndre Liggins,23.23,Kentucky,198,95,Right,0,3,G,38.0,73.68,31.6,2.9,6.9,0.424,0.9,2.4,0.391,1.8,2.8,0.648,3.4,0.6,4.0,2.5,1.2,0.7,1.4,2.5,8.6,14.5,0.523,0.348,0.398,0.0,2.2,11.8,7.2,14.2,2.3,2.3,14.9,15.8,1.8,2.1,3.9,0.129,1.4,4.5,5.9
2011,55,BOS,E'Twaun Moore,22.33,Purdue,193,86,Right,0,4,G,34.0,97.06,33.9,6.5,14.5,0.447,2.1,5.1,0.4,2.9,4.1,0.709,3.6,1.5,5.1,3.2,1.2,0.5,1.8,2.1,18.0,23.9,0.545,0.354,0.285,0.0,5.1,12.5,8.8,20.9,2.2,1.6,9.8,28.0,3.7,2.2,5.9,0.205,7.1,3.1,10.2
2011,58,LAL,Ater Majok,23.98,,208,105,Right,0,1,F,26.0,84.62,14.7,1.0,2.3,0.424,0.0,0.0,0.0,0.3,0.8,0.409,1.8,1.2,3.0,0.2,0.2,1.6,0.8,2.0,2.3,9.3,0.425,0.0,0.373,0.0,9.6,12.3,11.0,1.9,0.6,10.1,23.2,11.6,-0.1,0.6,0.5,0.051,0.0,0.0,0.0
2011,60,SAC,Isaiah Thomas,22.38,Washington,173,83,Left,0,3,G,35.0,100.0,31.9,5.4,12.1,0.445,1.7,4.9,0.349,4.3,6.0,0.719,2.8,0.7,3.5,6.1,1.3,0.1,3.0,2.1,16.8,22.9,0.563,0.408,0.498,0.0,2.5,9.5,6.0,32.7,2.3,0.2,16.6,26.2,4.0,1.5,5.5,0.199,6.2,1.9,8.1
