NBA Career Score,Name,Age,Height,Weight,NBA Connection,Seasons Played (College),G,GS%,MPG,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,BPM,FG/100,FGA/100,3P/100,3PA/100,FT/100,FTA/100,ORB/100,DRB/100,TRB/100,AST/100,STL/100,BLK/100,TOV/100,PF/100,PTS/100,ORtg,DRtg
1.5,Jeff Withey,23.3,213,106,0,4,37,97.3,30.9,27.2,0.621,8.8,22.3,16.1,6.2,1.4,13.7,15.1,21.5,0.231,11.5,9.5,16.4,0.1,0.1,7.1,9.9,4.1,12.2,16.3,1.8,1.4,7.5,3.8,4,26.2,117.8,84.2
0,Grant Jerrett,19.96,208,106,0,1,34,5.88,17.8,16.6,0.535,7.6,17.9,12.7,5.7,1.6,5.8,10.4,15.6,0.15,6.6,6.2,15.2,3.2,7.8,1.8,2.2,3.7,8.4,12.1,1.8,1.6,3.3,1.9,4.3,17.4,115.8,95.1
1,Jamaal Franklin,21.93,196,92,0,3,32,100,33.1,24.8,0.536,6.2,28.8,17.3,21.6,2.9,2.6,17.9,29.9,0.202,8.5,9.4,22.8,2.3,8.3,9.7,12.4,3.2,14.1,17.3,6,2.9,1.5,6.2,4.7,30.7,104.9,85.7
0,Pierre Jackson,21.82,178,81,0,2,36,97.22,34.8,26,0.574,2.2,10.3,6.2,40.7,2.5,0,16.4,29.5,0.222,10.5,10.1,23.6,4.1,11.4,9,11.2,1.1,5.2,6.3,11.9,2.5,0,5.7,3.7,33.2,117.5,100.1
2.5,Mike Muscala,21.98,211,106,0,4,34,100,31.7,35.7,0.575,11.8,31.1,21.8,18.5,1,7.8,9.5,31.6,0.307,12.5,13.4,26.4,0.2,0.9,10.6,13.4,5.8,16.6,22.4,4.6,1,4.7,3.4,4.4,37.7,121,84.5
1,Erick Green,22.13,190,83,0,4,32,100,36.4,31.6,0.592,1.4,11.6,6.3,27,2.1,0.6,9.3,32.4,0.222,11.4,13.2,27.8,3.1,7.9,11,13.5,0.8,5.7,6.4,6.1,2.1,0.3,3.5,2.2,40.5,123.6,111.4
1.5,Ryan Kelly,22.21,211,104,0,4,23,100,28.9,23.5,0.586,6.9,15.4,11.2,11,1.4,5.4,8.4,21.4,0.21,11.1,8.5,18.7,3.1,7.3,6.1,7.5,3.3,7.5,10.8,3.4,1.4,3.3,2,4.9,26.1,124.5,96.5
1,Erik Murphy,22.66,208,107,1,4,36,94.44,26.4,24.4,0.643,7.8,19.2,13.5,11,1.5,3.1,13,22.5,0.253,11.6,11,21.2,4.8,10.6,2.7,3.4,3.9,9.4,13.3,3.3,1.5,1.7,3.4,6.7,29.4,124.6,87
2.5,James Ennis III,22.98,201,95,0,2,33,96.97,33.1,25.3,0.616,6.9,17,11.9,14.4,3.1,4.2,18.3,24.9,0.173,7.1,9.8,19.9,3,8.3,6.8,8.1,3.5,8.4,11.9,3.8,3.1,2.3,5.3,4,29.3,114.2,100.7
0,Romero Osby,23.13,203,105,0,5,32,96.88,28.5,28.9,0.604,8.2,21.4,14.6,10.2,1.3,3.2,9,26,0.244,10,11.4,21.7,0.6,1.1,10.1,12.7,4.3,10.4,14.8,2.6,1.3,1.8,2.8,5.1,33.6,126.2,97.9
1.5,Lorenzo Brown,22.83,196,84,0,3,33,96.97,34.2,19.9,0.509,2.4,12.3,7.5,36.7,3.4,1.6,22.2,22.8,0.127,5.5,7.2,17.2,1,3.9,5.6,7.2,1.1,6.2,7.4,12.3,3.4,1,5.9,3.4,21.1,105.6,102
0,Colton Iverson,23.99,208,118,0,5,35,100,29.5,27.4,0.602,13.3,28.2,20.4,9.9,1.2,2.9,14.3,23.8,0.219,7.9,11,18.4,0,0,7.9,13.3,7,13.5,20.5,2.8,1.2,1.5,4.1,5.5,29.8,120.4,95.6
0,Arsalan Kazemi,23.18,201,102,0,4,35,77.14,29,24.4,0.627,11.5,31.5,21.2,9.2,4.1,2.4,16.6,15.2,0.226,10.8,6.5,10.9,0,0.1,5.8,8.6,5.6,14.4,20,2.7,4.1,1.3,3,3.8,18.8,123.3,82.9
1,Peyton Siva,22.67,183,83,0,4,40,100,31.2,17.5,0.513,1.1,8.1,4.5,34.3,4.3,0.6,21.3,20,0.17,7.3,6.7,16.6,1.8,6.4,4.1,4.7,0.6,4,4.5,11,4.3,0.3,5.1,5,19.4,106.6,89.1
0,Alex Oriakhi,23.01,206,102,0,4,34,100,25.8,27.2,0.674,14.1,23.7,18.9,2.6,1.3,6.4,14.2,18.5,0.23,8.4,9.2,14.4,0,0,7.1,9.5,7.1,12,19.1,0.8,1.3,3.6,3.1,5.3,25.5,131.6,94.1
0,Deshaun Thomas,21.82,201,97,0,3,37,100,35.4,24.2,0.551,5.8,15,10.3,8.6,0.9,1,7.3,29.1,0.209,9,12.3,27.7,3.4,9.9,6.7,8,3,7.5,10.5,2.3,0.9,0.5,2.5,2.6,34.8,116.7,97.6
