NBA Career Score,Name,Age,Height,Weight,NBA Connection,Seasons Played (College),G,GS%,MPG,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,BPM,FG/100,FGA/100,3P/100,3PA/100,FT/100,FTA/100,ORB/100,DRB/100,TRB/100,AST/100,STL/100,BLK/100,TOV/100,PF/100,PTS/100,ORtg,DRtg
2.5,Taurean Prince,22.26,201,97,0,4,34,100,30.6,20.8,0.537,9.2,14.8,12,14.8,2.4,2.7,15.3,28.1,0.148,6.6,10.6,24.6,3,8.4,6.4,8.3,4.6,7.1,11.7,4.4,2.4,1.4,5.2,4.9,30.7,109.7,102.7
1.5,Denzel Valentine,22.61,196,99,0,4,31,96.77,33,29.7,0.608,3,21.2,12.8,45.8,1.9,0.7,14.8,28.5,0.284,15.6,12,26,6.1,13.7,4.7,5.6,1.5,12.2,13.7,14.1,1.9,0.4,5,3,34.9,127.1,94.1
1,Wade Baldwin,20.24,190,88,0,2,33,90.91,30.4,20.7,0.571,1.5,11.6,7,33.7,2.3,1,18.2,25.3,0.179,7.1,7.8,18.2,2.4,5.8,8.9,11.2,0.8,6.9,7.6,9.9,2.3,0.6,5.3,4.9,26.9,112.7,97.7
1,Henry Ellenson,19.45,208,111,0,1,33,100,33.5,20.9,0.534,7.8,24.2,16.5,11,1.4,4.4,12.9,26.7,0.143,3.9,9.7,21.7,1.5,5.2,7.1,9.5,3.5,12.5,16,2.9,1.4,2.4,3.9,4.2,28,106.3,98.5
2.5,Malik Beasley,19.58,196,86,0,1,34,97.06,29.8,20.8,0.583,5,15.1,10.1,9.8,1.8,0.6,11.5,24.2,0.158,6.2,10.2,21.6,3,7.8,5.7,7,2.4,7.5,9.9,2.8,1.8,0.3,3.2,4.1,29,117.5,105.4
3,Caris LeVert,21.83,201,90,0,4,15,93.33,30.9,28.8,0.636,2.4,18.9,10.6,33.3,2,0.7,11.4,25.6,0.243,11.4,10.8,21.2,3.8,8.5,7.1,8.9,1.2,9.3,10.5,9.7,2,0.4,3.3,2.4,32.4,129.4,102.1
2,DeAndre' Bembry,21.98,198,95,1,3,36,97.22,37.3,22.4,0.539,4.3,18,11.3,24.1,2.2,2.5,11.2,24.4,0.174,8.2,10.1,21.1,1.4,5.4,5,7.6,2.2,9.7,11.9,6.8,2.2,1.3,3.1,3.7,26.7,113.2,97.8
1,Malachi Richardson,20.47,198,88,0,1,37,100,34.4,13.8,0.51,1.7,12.1,6.9,12.8,2,0.9,14,23.2,0.104,3.5,7.4,20,3.8,10.8,5.5,7.6,0.9,6.7,7.7,3.7,2,0.5,3.8,4.4,24,102.6,102.3
0,Brice Johnson,22,206,103,0,4,40,97.5,28,33,0.649,11.6,28.7,20.4,9.7,2.2,5.5,12,25,0.271,12.7,13.6,22.1,0,0,7.3,9.4,5.8,15.3,21.2,2.9,2.2,3,3.6,5.4,34.5,130.1,92.4
4.25,Pascal Siakam,22.23,206,104,0,2,34,100,34.6,31.6,0.569,13.4,23.6,18.8,12.1,1.7,6.5,10,29.1,0.266,8.2,14,26,0.2,0.8,7,10.3,6.7,13.4,20.2,3,1.7,3.8,3.4,4.7,35.2,119.7,86.7
1,Skal Labissi̬re,20.27,211,102,0,1,36,50,15.8,18.6,0.54,7.3,14.7,11.1,3.6,0.9,10.3,13.1,22.2,0.141,2.6,10.2,19.7,0,0.2,4.3,6.4,3.6,8.1,11.7,1.1,0.9,6.1,3.4,11.2,24.6,107.9,97.1
4,Dejounte Murray,19.76,196,77,0,1,34,100,33.5,16.8,0.485,4.1,13.7,8.8,25.6,2.8,0.8,16.3,25.8,0.099,3.6,9.1,21.9,1.5,5.3,5,7.5,2.2,7,9.1,6.8,2.8,0.5,5,4.1,24.7,99.7,102
2,Damian Jones,20.99,208,112,0,3,33,100,26.2,23.3,0.584,9.9,17.3,13.9,10.2,0.5,5.9,14.2,26.8,0.175,6.2,12.3,20.8,0,0.2,6,11.2,4.9,10.2,15.2,2.5,0.5,3.6,4.3,7.2,30.6,110.4,95.8
1,Deyonta Davis,19.56,208,111,0,1,35,45.71,18.6,23.9,0.601,13.5,19,16.5,7.5,0.8,10.2,12.1,19.3,0.204,7.8,11,18.3,0,0,2.1,3.5,6.6,11,17.6,2.4,0.8,5.9,2.8,7.4,24,121.4,91.1
1.5,Cheick Diallo,19.78,206,98,0,1,27,3.7,7.5,20.5,0.572,10.4,27.1,19.4,0.9,2,11.9,19.4,21.7,0.159,3.7,9.4,16.5,0,0,4.3,7.7,4.8,14.5,19.3,0.3,2,6.5,4.8,10.8,23,101.3,85.5
1.5,Tyler Ulis,20.47,175,70,0,2,35,100,36.8,24,0.567,1.7,7.1,4.6,34.3,2.3,0.3,11.4,23.3,0.221,10.3,8.8,20.2,2.5,7.3,7.6,8.9,0.9,3.9,4.8,11.2,2.3,0.2,3.1,2.9,27.7,128.8,103.6
3.5,Malcolm Brogdon,23.54,196,98,0,5,37,100,34.1,25.1,0.585,2.1,13.4,7.9,19.5,1.8,0.9,8.3,28.4,0.222,11.3,11.8,25.9,3.9,9.9,7.2,8,1,6.7,7.7,5.9,1.8,0.5,2.7,3.9,34.7,122.5,99.9
0,Chinanu Onuaku,19.65,208,104,1,2,31,93.55,24.6,26.4,0.62,13.7,25.8,19.8,12.9,1.9,9.6,20.8,20.5,0.218,10.5,10.8,17.5,0,0.1,2.6,4.4,7.2,13.6,20.8,4,1.9,4.9,5.1,7.3,24.3,114.7,84.9
2,Patrick McCaw,20.67,198,81,0,2,33,96.97,33.7,21.3,0.591,3.6,12.4,8,22.7,3.9,1.2,14.2,20.3,0.179,7.6,8.2,17.5,3.3,9,4,5.1,1.8,6.4,8.2,6.2,3.9,0.6,3.3,3.5,23.6,117.1,96
0,Diamond Stone,19.37,211,115,0,1,35,62.86,23.1,26.7,0.61,12.4,14.5,13.6,4.2,1.3,7.1,12.9,26.7,0.204,5.8,12.3,21.7,0,0,7.5,9.9,5.7,8.2,13.8,1.1,1.3,4.1,3.9,5.9,32.1,118.4,98.1
0,Stephen Zimmerman,19.79,213,108,0,1,26,92.31,26.2,17.6,0.519,8.8,26.5,17.7,6.4,1.1,7.5,17.1,21.9,0.122,1.4,8.1,17,0.4,1.4,5,8,4.5,13.6,18,1.7,1.1,4.1,4.3,6.3,21.6,98.7,92.7
1.5,Isaiah Whitehead,21.3,193,95,0,2,34,97.06,32.3,20.5,0.511,1.8,9.8,5.9,33,2.1,4.5,16.4,31.6,0.153,8.9,10,26.4,4.2,11.4,7.7,10.1,0.9,5.4,6.3,8.9,2.1,2.5,6.1,4,31.8,104.5,97.4
1.5,Demetrius Jackson,21.8,185,89,0,3,35,100,36,21,0.56,3,8,5.6,25.1,2.1,0.8,13.3,24.1,0.141,6.1,9.4,20.9,2.6,8,5.5,6.8,1.5,4.4,5.9,8,2.1,0.5,3.7,3.3,27,117.9,112.2
0,A.J. Hammons,23.83,213,118,0,4,33,60.61,24.6,31,0.623,11.5,24.9,18.7,10.5,0.7,10.4,14.1,28.6,0.241,11.9,14.4,24.4,0.4,0.8,6.5,9.2,5.6,14,19.6,2.7,0.7,6.1,4.7,5.7,35.9,117.7,88.7
2,Jake Layman,22.3,206,92,0,4,36,100,30.9,18.8,0.64,4.4,14.4,9.9,7,2.1,3.4,15.8,18.2,0.159,8.2,7.5,15,3,7.7,4.2,5.1,2,8.1,10.1,2.2,2.1,1.9,3.3,3.7,22.2,118,98.6
0,Michael Gbinije,24.05,201,90,0,5,37,100,37.9,20.9,0.574,3.2,8.8,6,26.3,3.1,1.1,15.7,24.8,0.162,8.4,9.9,21.4,4,10.2,4.7,7,1.8,4.9,6.6,7,3.1,0.6,4.6,4.3,28.4,113.4,101.8
2.5,Georges Niang,23.02,203,104,0,4,35,100,33.2,25.9,0.625,4.8,15.6,10.6,19.2,1.5,1.8,13.8,28.7,0.192,8.7,13.6,24.9,2.7,6.9,4.6,5.7,2.2,8.3,10.5,5.6,1.5,1.1,4.4,5.3,34.6,118.6,104.7
0,Ben Bentil,21.24,203,104,0,2,35,94.29,34.2,24.8,0.567,8.4,16.7,12.4,8,1.4,3.1,9.3,29.6,0.193,8.2,11.8,25.5,2.5,7.6,9.3,11.9,4.5,8.3,12.8,1.9,1.4,1.7,3.2,4.6,35.3,115.7,100
0,Joel Bolomboy,22.41,206,104,0,4,33,100,31.5,29.1,0.634,13.1,31.3,23,7.4,1.3,3.6,14.9,26.1,0.248,4.3,10.8,18.9,1.1,3.1,8.9,12.8,6.1,17.2,23.3,2,1.3,2.2,4.4,4.1,31.7,121.1,90.1
1,Kay Felder,21.24,175,81,1,3,35,100,36.7,28.7,0.572,2.2,9.8,6.1,50,2.9,0.5,13.9,31.3,0.237,8.3,11.2,25.5,3.2,8.9,9.9,11.7,1.1,5.1,6.2,13.5,2.9,0.3,5,4.3,35.5,122.9,105.9
0,Marcus Paige,22.79,185,79,0,4,34,100,31.6,17.4,0.537,1.6,7.1,4.4,18.6,2.1,1.5,9.5,19.4,0.154,8,7.5,18.8,3.9,11,3.8,4.9,0.8,3.8,4.6,6.8,2.1,0.8,2.2,2.7,22.7,122.3,104.8
1,Daniel Hamilton,20.88,201,86,1,2,36,100,31.9,20,0.492,3.5,27.1,16.1,29.2,2,1.5,15.6,25.1,0.165,8,8.4,21.7,2.5,7.5,4.5,5.3,1.7,15.2,16.9,9,2,0.8,4.5,3.5,23.8,104,89.9
2,Abdel Nader,22.75,198,104,0,5,35,100,31.1,15.8,0.583,2.9,14.4,9,8,1.9,2.1,16.9,21.5,0.104,3.5,8.3,17.3,2.7,7.2,4,5.4,1.3,7.6,8.9,2.8,1.9,1.2,4.1,5,23.2,105.4,104.3
0,Isaiah Cousins,22.29,193,84,0,4,37,100,33.3,15.9,0.506,2.1,11.9,7.3,25.1,2.3,0.8,16,21.8,0.123,5.4,7.7,19,3,7.2,3,4.4,1.1,6.5,7.5,7.7,2.3,0.5,4,2.9,21.4,106.3,101.3
1.5,Tyrone Wallace,22.04,196,90,0,4,28,89.29,32.2,19.7,0.513,3.5,14.3,9.1,28.5,1.8,1.3,15.1,27.4,0.149,6.6,9.8,22.3,1.6,5.5,6.5,10,1.8,7.9,9.6,8,1.8,0.8,4.8,4.1,27.8,106.6,98.8
2,Markelle Fultz,19.07,193,88,0,1,25,100,35.7,28,0.558,4,13.9,8.9,35.5,2.5,3.1,13.4,31.4,0.173,9.4,12.9,27.1,3.2,7.8,6.7,10.4,2,6.8,8.8,9.1,2.5,1.8,4.9,3.9,35.7,116.3,110.7
2.5,Lonzo Ball,19.66,198,86,1,1,36,100,35.1,24.7,0.673,3.2,14.3,9.3,31.4,2.8,2.1,18.6,18.1,0.214,12,8.1,14.6,3.4,8.3,2.8,4.2,1.4,7.8,9.2,11.7,2.8,1.2,3.8,2.8,22.4,131.3,100.7
5,Jayson Tatum,19.31,203,92,0,1,29,93.1,33.3,22,0.566,4.8,19.7,12.6,12.4,2.3,3.2,15,26.2,0.169,7.9,9.8,21.6,2.4,6.9,7,8.2,2.3,10.3,12.6,3.7,2.3,2,4.5,5.1,28.9,111.4,97.8
