Name,Draft Year,Pick Number,POS,Predicted Score,Actual Tier,Position Group
Kyrie Irving,2011,1,"PG,SG",5.796,7,Guard
Derrick Williams,2011,2,"PF,SF",3.274,0,Wing
Tristan Thompson,2011,4,"C,PF",2.302,5,Big
Brandon Knight,2011,8,"PG,SG",2.228,5,Guard
Kemba Walker,2011,9,PG,2.542,7,Guard
Jimmer Fredette,2011,10,"SG,PG",2.82,0,Guard
Klay Thompson,2011,11,SG,0.39,7,Guard
Alec Burks,2011,12,"SG,SF",2.96,3,Wing
Markieff Morris,2011,13,"PF,C",1.782,5,Big
Marcus Morris,2011,14,"PF,C",1.958,5,Big
Kawhi Leonard,2011,15,SF,3.324,7,Wing
Nikola VuÄeviÄ,2011,16,C,0.854,7,Big
Iman Shumpert,2011,17,SG,1.616,3,Guard
Chris Singleton,2011,18,"SF,PF",0.974,0,Wing
Tobias Harris,2011,19,"PF,SF",4.316,5,Wing
Nolan Smith,2011,21,PG,0.302,0,Guard
Kenneth Faried,2011,22,"PF,C",2.18,5,Big
Reggie Jackson,2011,24,"PG,SG",3.338,3,Guard
MarShon Brooks,2011,25,SG,3.084,0,Guard
Jordan Hamilton,2011,26,SF,2.314,0,Wing
JaJuan Johnson,2011,27,"PF,C",0.83,0,Big
Norris Cole,2011,28,PG,0.532,0,Guard
Cory Joseph,2011,29,"PG,SG",3.462,3,Guard
Jimmy Butler,2011,30,"SG,SF",1.168,7,Wing
Justin Harper,2011,32,"PF,C",1.294,0,Big
Kyle Singler,2011,33,SF,0.398,3,Wing
Shelvin Mack,2011,34,"PG,SG",2.034,0,Guard
Tyler Honeycutt,2011,35,SF,1.64,0,Wing
Jordan Williams,2011,36,C,1.254,0,Big
Trey Thompkins,2011,37,C,1.018,0,Big
Chandler Parsons,2011,38,"SF,PF",1.116,5,Wing
Jon Leuer,2011,40,"PF,C",0.274,0,Big
Darius Morris,2011,41,PG,1.612,0,Guard
Malcolm Lee,2011,43,SG,1.482,0,Guard
Charles Jenkins,2011,44,"PG,SG",1.606,0,Guard
Josh Harrellson,2011,45,"C,PF",1.266,0,Big
