=== Hold-Out Predictions by Draft Year (Grouped & Sorted) ===


--- Draft Class 2011, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
  20 | Cady Lalanne                   | C     |       0.52 |     0.00

--- Draft Class 2016, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Chinanu Onuaku                 | C     |       2.66 |     0.00
   2 | Brice Johnson                  | PF    |       2.07 |     0.00
   3 | Marquese Chriss                | PF    |       2.07 |     2.50
   4 | Diamond Stone                  | C     |       2.03 |     0.00
   5 | Henry Ellenson                 | PF,C  |       1.99 |     0.50
   6 | Jakob Poeltl                   | C     |       1.90 |     3.00
   7 | Cheick Diallo                  | C,PF  |       1.84 |     0.50
   8 | Deyonta Davis                  | C     |       1.76 |     0.50
   9 | Joel Bolomboy                  | PF    |       1.51 |     0.00
  10 | Domantas Sabonis               | C,PF  |       1.47 |     4.50
  11 | Pascal Siakam                  | PF    |       1.36 |     4.50
  12 | Stephen Zimmerman              | C     |       1.33 |     0.00
  13 | Georges Niang                  | PF    |       1.30 |     2.50
  14 | Skal LabissiÃ¨re               | PF,C  |       1.16 |     1.00
  15 | A.J. Hammons                   | C     |       1.02 |     0.00
  16 | Ben Bentil                     | PF    |       0.63 |     0.00
  17 | Damian Jones                   | C     |       0.59 |     1.00

--- Draft Class 2017, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Zach Collins                   | C,PF  |       2.56 |     2.50
   2 | Justin Patton                  | C     |       2.46 |     0.50
   3 | Caleb Swanigan                 | PF,C  |       2.44 |     0.50
   4 | T.J. Leaf                      | PF    |       2.40 |     0.50
   5 | Tony Bradley                   | C     |       2.36 |     1.00
   6 | Jonathan Isaac                 | PF    |       2.14 |     3.00
   7 | Jarrett Allen                  | C     |       1.97 |     4.50
   8 | Bam Adebayo                    | C,PF  |       1.96 |     4.50
   9 | Ike Anigbogu                   | C     |       1.92 |     0.00
  10 | Ivan Rabb                      | PF    |       1.87 |     0.00
  11 | John Collins                   | PF    |       1.86 |     4.00
  12 | Thomas Bryant                  | C     |       1.84 |     2.50
  13 | Jordan Bell                    | C     |       1.51 |     1.00
  14 | Harry Giles                    | C,PF  |       1.33 |     2.50
  15 | Semi Ojeleye                   | PF    |       1.20 |     0.50
  16 | Alec Peters                    | PF    |       1.16 |     0.00
  17 | Jonah Bolden                   | C,PF  |       0.93 |     0.00
  18 | Tyler Lydon                    | PF    |       0.90 |     0.00
  19 | D.J. Wilson                    | PF    |       0.62 |     1.00

--- Draft Class 2018, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Marvin Bagley III              | C,PF  |       2.90 |     1.00
   2 | Wendell Carter Jr.             | C,PF  |       2.73 |     4.00
   3 | Jaren Jackson Jr.              | C,PF  |       2.67 |     4.50
   4 | Deandre Ayton                  | C     |       2.29 |     4.50
   5 | Mo Bamba                       | C     |       2.22 |     2.50
   6 | Jarred Vanderbilt              | PF    |       1.86 |     3.00
   7 | Moritz Wagner                  | C     |       1.29 |     2.50
   8 | Robert Williams                | C     |       1.27 |     3.00
   9 | Omari Spellman                 | C,PF  |       1.27 |     0.00
  10 | Ray Spalding                   | PF,C  |       0.98 |     0.00
  11 | Kevin Hervey                   | PF    |       0.75 |     0.00
  12 | Chimezie Metu                  | C,PF  |       0.46 |     1.00
  13 | Thomas Welsh                   | C     |       0.37 |     0.00

--- Draft Class 2019, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Zion Williamson                | PF    |       2.93 |     4.50
   2 | Grant Williams                 | PF    |       2.52 |     2.50
   3 | Jaxson Hayes                   | C     |       2.34 |     2.50
   4 | Brandon Clarke                 | PF    |       2.07 |     1.00
   5 | Bol Bol                        | PF    |       1.96 |     2.50
   6 | Rui Hachimura                  | PF    |       1.79 |     3.00
   7 | Bruno Fernando                 | C     |       1.59 |     1.00
   8 | Nic Claxton                    | C     |       1.57 |     4.00
   9 | Daniel Gafford                 | C,PF  |       1.52 |     3.00
  10 | KZ Okpala                      | PF    |       1.42 |     0.50
  11 | P.J. Washington                | PF,C  |       1.40 |     3.00
  12 | Cameron Johnson                | PF    |       1.37 |     3.00
  13 | Mfiondu Kabengele              | PF,C  |       1.09 |     0.50
  14 | Jarrell Brantley               | PF    |       1.05 |     0.50
  15 | Eric Paschall                  | PF    |       0.92 |     1.00
  16 | Isaiah Roby                    | PF    |       0.75 |     1.00
  17 | Dewan Hernandez                | C     |       0.23 |     0.00

--- Draft Class 2020, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | James Wiseman                  | C     |       2.70 |     1.00
   2 | Jalen Smith                    | C,PF  |       2.62 |     0.50
   3 | Zeke Nnaji                     | PF    |       2.46 |     1.00
   4 | Isaiah Stewart                 | C,PF  |       2.46 |     2.50
   5 | Vernon Carey Jr.               | C     |       2.27 |     0.50
   6 | Onyeka Okongwu                 | C     |       2.21 |     3.00
   7 | Obi Toppin                     | PF    |       1.98 |     3.00
   8 | Daniel Oturu                   | C     |       1.86 |     0.00
   9 | Reggie Perry                   | PF    |       1.81 |     0.00
  10 | Udoka Azubuike                 | C     |       1.70 |     0.50
  11 | Xavier Tillman Sr.             | C,PF  |       1.52 |     2.50
  12 | Precious Achiuwa               | C,PF  |       1.28 |     2.50
  13 | Patrick Williams               | PF    |       0.95 |     3.00
  14 | Paul Reed                      | C,PF  |       0.91 |     2.50
  15 | Nick Richards                  | C,PF  |       0.84 |     2.50

--- Draft Class 2021, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Evan Mobley                    | PF,C  |       2.41 |     4.50
   2 | Isaiah Jackson                 | C     |       2.37 |     1.00
   3 | Neemias Queta                  | C     |       2.29 |     0.50
   4 | JT Thor                        | PF    |       2.08 |     0.50
   5 | Charles Bassey                 | C     |       1.86 |     0.50
   6 | Day'Ron Sharpe                 | C,PF  |       1.85 |     2.50
   7 | Kai Jones                      | C     |       1.66 |     0.50
   8 | Jeremiah Robinson-Earl         | PF,C  |       1.53 |     1.00
   9 | Santi Aldama                   | PF    |       1.43 |     3.00
  10 | Sandro Mamukelashvili          | C,PF  |       1.34 |     0.50
  11 | Filip PetruÅ¡ev                | C     |       1.30 |     0.00
  12 | Luka Garza                     | C     |       1.23 |     0.50
  13 | RaiQuan Gray                   | PF    |       0.81 |     0.00
  14 | BalÅ¡a Koprivica               | C     |       0.79 |     0.00
  15 | Jericho Sims                   | C,PF  |       0.59 |     1.00

Top 50 features by |Pearson corr| with Player Tier:

Age                      : 0.371
Seasons Played (College) : 0.325
C_BPM                    : 0.236
College Strength         : 0.195
C_DBPM                   : 0.185
C_OBPM                   : 0.162
CT_SOS                   : 0.158
C_WS/40                  : 0.140
CT_SRS                   : 0.136
C_PER                    : 0.132
C_STL/40                 : 0.119
C_STL%                   : 0.110
C_ORtg                   : 0.105
C_PTS/40                 : 0.095
C_TS%                    : 0.090
C_DRtg                   : 0.076
C_DWS                    : 0.072
C_OWS                    : 0.072
BMI                      : 0.063
C_AST/40                 : 0.059
C_FTA/40                 : 0.058
CT_ORtg                  : 0.055
C_FGA/40                 : 0.055
C_TOV/40                 : 0.050
C_AST%                   : 0.050
C_USG%                   : 0.048
CT_Win%                  : 0.042
Height                   : 0.040
C_GS%                    : 0.038
C_G                      : 0.034
C_TRB/40                 : 0.032
C_TRB%                   : 0.031
C_3PA/40                 : 0.030
CT_DRtg                  : 0.027
C_BLK/40                 : 0.017
C_BLK_MPG                : 0.017
Weight                   : 0.017
C_BLK%                   : 0.015
C_TOV%                   : 0.014
C_MPG                    : 0.008
C_ORB_DRB                : 0.005

Top 50 features by RandomForest importance:

Age                      : 0.199
C_DBPM                   : 0.059
C_DWS                    : 0.042
C_BPM                    : 0.036
C_MPG                    : 0.030
C_ORB_DRB                : 0.029
CT_Win%                  : 0.029
C_STL%                   : 0.028
C_DRtg                   : 0.027
CT_SOS                   : 0.027
C_PER                    : 0.026
C_G                      : 0.026
C_OBPM                   : 0.025
C_TS%                    : 0.025
C_TRB/40                 : 0.023
C_OWS                    : 0.021
CT_DRtg                  : 0.021
C_WS/40                  : 0.021
C_AST%                   : 0.020
CT_ORtg                  : 0.017
C_FTA/40                 : 0.017
C_BLK%                   : 0.016
C_GS%                    : 0.016
C_AST/40                 : 0.016
C_TOV%                   : 0.015
BMI                      : 0.015
College Strength         : 0.015
C_ORtg                   : 0.014
C_STL/40                 : 0.013
C_TOV/40                 : 0.013
Weight                   : 0.013
C_3PA/40                 : 0.013
C_FGA/40                 : 0.013
C_TRB%                   : 0.012
CT_SRS                   : 0.012
Seasons Played (College) : 0.012
C_USG%                   : 0.011
C_PTS/40                 : 0.011
C_BLK_MPG                : 0.010
C_BLK/40                 : 0.009
Height                   : 0.007
