=== Hold-Out Predictions by Draft Year (Grouped & Sorted) ===


--- Draft Class 2011, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
  18 | Richaun Holmes                 | C,PF  |       0.75 |     2.50
  19 | Jarell Martin                  | PF    |       0.75 |     0.50
  20 | Cady Lalanne                   | C     |       0.58 |     0.00

--- Draft Class 2016, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Chinanu Onuaku                 | C     |       2.64 |     0.00
   2 | Henry Ellenson                 | PF,C  |       2.11 |     0.50
   3 | Diamond Stone                  | C     |       2.02 |     0.00
   4 | Marquese Chriss                | PF    |       2.02 |     2.50
   5 | Jakob Poeltl                   | C     |       2.00 |     3.00
   6 | Brice Johnson                  | PF    |       1.90 |     0.00
   7 | Deyonta Davis                  | C     |       1.85 |     0.50
   8 | Cheick Diallo                  | C,PF  |       1.58 |     0.50
   9 | Domantas Sabonis               | C,PF  |       1.42 |     4.50
  10 | Georges Niang                  | PF    |       1.35 |     2.50
  11 | Stephen Zimmerman              | C     |       1.26 |     0.00
  12 | Pascal Siakam                  | PF    |       1.06 |     4.50
  13 | Skal Labissi̬re               | PF,C  |       1.03 |     1.00
  14 | A.J. Hammons                   | C     |       0.98 |     0.00
  15 | Joel Bolomboy                  | PF    |       0.91 |     0.00
  16 | Ben Bentil                     | PF    |       0.85 |     0.00
  17 | Damian Jones                   | C     |       0.68 |     1.00

--- Draft Class 2017, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | T.J. Leaf                      | PF    |       2.56 |     0.50
   2 | Tony Bradley                   | C     |       2.36 |     1.00
   3 | Jonathan Isaac                 | PF    |       2.34 |     3.00
   4 | Justin Patton                  | C     |       2.20 |     0.50
   5 | Caleb Swanigan                 | PF,C  |       2.13 |     0.50
   6 | Zach Collins                   | C,PF  |       2.10 |     2.50
   7 | Ike Anigbogu                   | C     |       2.00 |     0.00
   8 | Thomas Bryant                  | C     |       1.97 |     2.50
   9 | Jarrett Allen                  | C     |       1.96 |     4.50
  10 | John Collins                   | PF    |       1.87 |     4.00
  11 | Alec Peters                    | PF    |       1.83 |     0.00
  12 | Bam Adebayo                    | C,PF  |       1.77 |     4.50
  13 | Ivan Rabb                      | PF    |       1.49 |     0.00
